STAID,LAT,LON,geometry
18896,59.31666666666667,10.516666666666667,POINT (10.516666666666667 59.31666666666667)
18897,61.501666666666665,7.696388888888889,POINT (7.696388888888889 61.501666666666665)
18899,59.45555555555556,9.533333333333331,POINT (9.533333333333331 59.45555555555556)
18900,69.85805555555555,29.366666666666667,POINT (29.366666666666667 69.85805555555555)
18901,59.43833333333333,10.59388888888889,POINT (10.59388888888889 59.43833333333333)
18902,62.83305555555556,8.300277777777778,POINT (8.300277777777778 62.83305555555556)
18903,67.26694444444445,14.358888888888888,POINT (14.358888888888888 67.26694444444445)
18904,59.9,10.666666666666666,POINT (10.666666666666666 59.9)
18905,59.461666666666666,6.416666666666667,POINT (6.416666666666667 59.461666666666666)
18907,68.00055555555555,15.609444444444444,POINT (15.609444444444444 68.00055555555555)
18908,58.66694444444444,6.7075000000000005,POINT (6.7075000000000005 58.66694444444444)
18909,68.59305555555555,14.31027777777778,POINT (14.31027777777778 68.59305555555555)
18911,68.73305555555555,17.8,POINT (17.8 68.73305555555555)
18912,60.1025,11.385,POINT (11.385 60.1025)
18913,69.9713888888889,23.35833333333333,POINT (23.35833333333333 69.9713888888889)
18914,69.74083333333333,21.023333333333333,POINT (21.023333333333333 69.74083333333333)
18915,61.75666666666667,11.144444444444444,POINT (11.144444444444444 61.75666666666667)
18916,63.71666666666667,11.233055555555556,POINT (11.233055555555556 63.71666666666667)
18918,69.98305555555555,23.366666666666667,POINT (23.366666666666667 69.98305555555555)
18919,59.88138888888889,9.890555555555554,POINT (9.890555555555554 59.88138888888889)
18920,59.57305555555556,10.491666666666664,POINT (10.491666666666664 59.57305555555556)
18921,60.21666666666667,5.983333333333333,POINT (5.983333333333333 60.21666666666667)
18922,62.82666666666667,10.010555555555555,POINT (10.010555555555555 62.82666666666667)
18923,60.52916666666667,8.211666666666666,POINT (8.211666666666666 60.52916666666667)
18925,61.71527777777778,8.329444444444444,POINT (8.329444444444444 61.71527777777778)
18926,60.61416666666667,7.417777777777778,POINT (7.417777777777778 60.61416666666667)
18927,59.25944444444445,11.020555555555555,POINT (11.020555555555555 59.25944444444445)
18928,62.62416666666667,7.170277777777778,POINT (7.170277777777778 62.62416666666667)
18929,69.35388888888889,18.075,POINT (18.075 69.35388888888889)
18930,59.14944444444444,5.260555555555555,POINT (5.260555555555555 59.14944444444444)
18931,61.43305555555556,6.766666666666667,POINT (6.766666666666667 61.43305555555556)
18933,70.86749999999999,29.08833333333333,POINT (29.08833333333333 70.86749999999999)
18934,64.19666666666667,11.235,POINT (11.235 64.19666666666667)
18935,59.16,6.036388888888888,POINT (6.036388888888888 59.16)
18936,61.564166666666665,4.790555555555556,POINT (4.790555555555556 61.564166666666665)
18937,61.23305555555556,8.933055555555555,POINT (8.933055555555555 61.23305555555556)
18938,68.46944444444445,17.498055555555556,POINT (17.498055555555556 68.46944444444445)
18939,69.23416666666667,17.900555555555552,POINT (17.900555555555552 69.23416666666667)
18940,59.96694444444445,12.210555555555556,POINT (12.210555555555556 59.96694444444445)
18942,62.36805555555556,6.001944444444445,POINT (6.001944444444445 62.36805555555556)
18944,59.88638888888889,9.058055555555557,POINT (9.058055555555557 59.88638888888889)
18945,59.50083333333333,11.283055555555556,POINT (11.283055555555556 59.50083333333333)
18946,69.66416666666667,30.386666666666667,POINT (30.386666666666667 69.66416666666667)
18948,59.31527777777777,11.04888888888889,POINT (11.04888888888889 59.31527777777777)
18949,69.36805555555554,20.26805555555556,POINT (20.26805555555556 69.36805555555554)
18950,60.63777777777778,6.451666666666667,POINT (6.451666666666667 60.63777777777778)
18951,70.07805555555555,30.096666666666664,POINT (30.096666666666664 70.07805555555555)
18952,59.36416666666667,8.053333333333335,POINT (8.053333333333335 59.36416666666667)
18953,62.5,6.683055555555556,POINT (6.683055555555556 62.5)
18954,62.60833333333333,7.229166666666667,POINT (7.229166666666667 62.60833333333333)
18955,60.6025,7.504166666666666,POINT (7.504166666666666 60.6025)
18956,61.87416666666667,8.440555555555555,POINT (8.440555555555555 61.87416666666667)
18957,59.723888888888894,9.024166666666668,POINT (9.024166666666668 59.723888888888894)
18958,61.09555555555556,10.474166666666669,POINT (10.474166666666669 61.09555555555556)
18959,62.98305555555556,7.116666666666666,POINT (7.116666666666666 62.98305555555556)
18960,68.58333333333333,16.569166666666668,POINT (16.569166666666668 68.58333333333333)
18961,66.34166666666667,14.127777777777778,POINT (14.127777777777778 66.34166666666667)
18963,66.76138888888889,14.573333333333332,POINT (14.573333333333332 66.76138888888889)
18964,58.0475,7.446944444444445,POINT (7.446944444444445 58.0475)
18965,69.69666666666667,19.020555555555557,POINT (19.020555555555557 69.69666666666667)
18966,63.42638888888889,10.417777777777776,POINT (10.417777777777776 63.42638888888889)
18967,63.665277777777774,12.0,POINT (12 63.665277777777774)
18968,62.60333333333333,9.683333333333334,POINT (9.683333333333334 62.60333333333333)
18969,59.13305555555556,5.605555555555555,POINT (5.605555555555555 59.13305555555556)
18970,59.81194444444444,11.476666666666668,POINT (11.476666666666668 59.81194444444444)
18972,69.01777777777778,19.280277777777776,POINT (19.280277777777776 69.01777777777778)
18973,63.85,9.733055555555556,POINT (9.733055555555556 63.85)
18974,59.157777777777774,10.440277777777778,POINT (10.440277777777778 59.157777777777774)
18975,65.1375,13.351666666666668,POINT (13.351666666666668 65.1375)
18976,62.02777777777778,10.801666666666668,POINT (10.801666666666668 62.02777777777778)
18977,70.44444444444444,25.21305555555556,POINT (25.21305555555556 70.44444444444444)
18978,59.23305555555556,10.283055555555556,POINT (10.283055555555556 59.23305555555556)
18979,69.65166666666667,18.95,POINT (18.95 69.65166666666667)
18980,62.406666666666666,8.53888888888889,POINT (8.53888888888889 62.406666666666666)
18981,62.82833333333333,10.009166666666667,POINT (10.009166666666667 62.82833333333333)
18982,61.43388888888889,11.076666666666666,POINT (11.076666666666666 61.43388888888889)
18983,60.33638888888889,6.659166666666667,POINT (6.659166666666667 60.33638888888889)
18984,67.23777777777778,15.30388888888889,POINT (15.30388888888889 67.23777777777778)
18985,60.39305555555556,5.913055555555556,POINT (5.913055555555556 60.39305555555556)
18986,63.02666666666666,9.716388888888888,POINT (9.716388888888888 63.02666666666666)
18987,61.87277777777778,6.8566666666666665,POINT (6.8566666666666665 61.87277777777778)
18988,60.78666666666666,10.202777777777778,POINT (10.202777777777778 60.78666666666666)
18989,67.525,12.10388888888889,POINT (12.10388888888889 67.525)
18990,61.45055555555556,5.884166666666666,POINT (5.884166666666666 61.45055555555556)
18991,60.39666666666667,5.308333333333334,POINT (5.308333333333334 60.39666666666667)
18992,63.205000000000005,9.788333333333334,POINT (9.788333333333334 63.205000000000005)
18993,60.41138888888889,8.444166666666668,POINT (8.444166666666668 60.41138888888889)
18994,61.61666666666667,8.966666666666667,POINT (8.966666666666667 61.61666666666667)
18995,61.890277777777776,5.643055555555555,POINT (5.643055555555555 61.890277777777776)
18996,66.56972222222223,15.34138888888889,POINT (15.34138888888889 66.56972222222223)
18997,60.15888888888889,11.426666666666666,POINT (11.426666666666666 60.15888888888889)
18998,63.11027777777778,7.751666666666667,POINT (7.751666666666667 63.11027777777778)
18999,59.62833333333333,8.259166666666667,POINT (8.259166666666667 59.62833333333333)
19000,66.96666666666667,14.133055555555556,POINT (14.133055555555556 66.96666666666667)
19004,66.33166666666666,14.101944444444444,POINT (14.101944444444444 66.33166666666666)
19005,60.74444444444445,7.136388888888889,POINT (7.136388888888889 60.74444444444445)
19006,65.46666666666667,12.2,POINT (12.2 65.46666666666667)
19007,67.50583333333333,12.068888888888887,POINT (12.068888888888887 67.50583333333333)
19009,59.54666666666667,8.420555555555556,POINT (8.420555555555556 59.54666666666667)
19010,58.25,7.316666666666666,POINT (7.316666666666666 58.25)
19011,70.31666666666666,20.155,POINT (20.155 70.31666666666666)
19012,64.20972222222223,11.201944444444443,POINT (11.201944444444443 64.20972222222223)
19013,60.51833333333333,7.825,POINT (7.825 60.51833333333333)
19014,59.640277777777776,7.440277777777778,POINT (7.440277777777778 59.640277777777776)
19015,60.21944444444445,12.028055555555556,POINT (12.028055555555556 60.21944444444445)
19016,59.91277777777778,10.7175,POINT (10.7175 59.91277777777778)
19017,62.82277777777778,10.02,POINT (10.02 62.82277777777778)
19018,68.95305555555557,16.656388888888888,POINT (16.656388888888888 68.95305555555557)
